7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation room (max),,,,,"10,000 SF",,,,The maximum amount of recreation room space that can be counted toward indoor amenity requirements (LAMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space (req),,,,,"11,150 SF",,,,The minimum outdoor amenity area that must be provided to meet project requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"21,150 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space,,,,,"10,296 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space,,,,,"18,668 SF",,>,"11,150 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"28,963 SF",,>,"21,150 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"28,963 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"18,850 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space,,,,,"47,813 SF",,>,"40,000 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity priority for resident cohort:,,,,,,2. Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space (req.),,,,,"10,000",,SF,,The minimum indoor amenity area required by zoning or municipal code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Indoor Amenities,,,,,"2,200",,SF,,The portion of corridor area allocated or credited toward indoor amenity space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%
,Bar / Café Nook,,,,,,,,TRUE,"1,319 SF",,,"1,319 SF",,,"1,319 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%
,Business Center / Coworking,,,,,,,,TRUE,"1,177 SF",,,"1,177 SF",,,"1,177 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Children’s Play Area,,,,,,,,TRUE,552 SF,,,552 SF,,,552 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Commercial Kitchen,,,,,,,,TRUE,705 SF,,,705 SF,,,705 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%
,Community / Multi-Purpose Room,,,,,,,,TRUE,"1,793 SF",,,"1,793 SF",,,"1,793 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Concierge Desk,,,,,,,,TRUE,333 SF,,,333 SF,,,333 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conference Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%
,Dining Room,,,,,,,,TRUE,"1,319 SF",,,"1,319 SF",,,"1,319 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dog Washing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fitness Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Game Room,,,,,,,,TRUE,732 SF,,,732 SF,,,732 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golf Simulator Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Library / Reading Lounge,,,,,,,,TRUE,552 SF,,,552 SF,,,552 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massage / Treatment Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podcast Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recording Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sauna / Steam Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shower / Changing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spa / Wellness Center,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spin Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity Storage Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%
,Theater / Screening Room,,,,,,,,TRUE,"1,275 SF",,,"1,275 SF",,,"1,275 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yoga / Pilates Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Restroom for Residents,,,,,,,,TRUE,540 SF,,,540 SF,,,540 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"10,296 SF",,,"10,296 SF",,,"10,296 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00%
,Outdoor Bar Area,,,,,,,,TRUE,562 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00%
,BBQ Stations,,,,,,,,TRUE,"1,681 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20%
,Cabanas,,,,,,,,TRUE,777 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30%
,Fire Pit(s),,,,,,,,TRUE,"2,491 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40%
,Gazebos,,,,,,,,TRUE,"1,196 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movie Screening Area,,,,,,,,TRUE,343 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50%
,Outdoor Kitchen,,,,,,,,TRUE,"1,771 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30%
,Seating / Tables,,,,,,,,TRUE,812 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Courts - Sports,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Shower(s),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Run / Pet Park,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Washing Station,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planters - Community Garden,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Spa,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10%
,Swimming Pool,,,,,,,,TRUE,"1,518 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tot Lot / Children’s Play Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90%
,Planters - Landscaped Area,,,,,,,,TRUE,"2,230 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.30%
,Outdoor Amenity Circulation,,,,,,,,TRUE,"5,288 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"18,668 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MPOE Room,,,,,,,,TRUE,200 SF,,,200 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF Closets,,,,,,,,TRUE,288 SF,,,288 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAS (ERRCS) Room,,,,,,,,TRUE,230 SF,,,230 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,718 SF,,,718 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utilty Infrastructure - Exterior,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utility - Customer Station (indoor),,,,,,,,TRUE,"1,062 SF",,,"1,062 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Utility - Indoor Meter Room,,,,,,,,TRUE,"3,826 SF",,,"3,826 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"4,888 SF",,,"4,888 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential area - kVA,,,,,"2,125",,kVA,,The estimated electrical demand load in kVA attributable to the residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-residential area - kVA,,,,,423,,kVA,,The estimated electrical demand load in kVA attributable to the non-residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demand electrical load,,,,,"2,548",,kVA,,"The combined total electrical demand load for both residential and non-residential areas, expressed in kVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roof area,,,,,"29,871",,SF,,"The total gross roof surface of the building, measured in square feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Available roof sf (solar panel),,,,,"14,021",,SF,,"The portion of the roof area suitable for photovoltaic panels after excluding setbacks, mechanical equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main Electrical Room,,,,,,,,TRUE,450 SF,,,450 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Electrical Room(s),,,,,,,,TRUE,583 SF,,,583 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATS Room (Emergency equipment),,,,,,,,TRUE,132 SF,,,132 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generator Room,,,,,,,,TRUE,308 SF,,,308 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Lighting Inverter Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Battery Room / UPS Room,,,,,,,,TRUE,567 SF,,,567 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"2,040 SF",,,"2,040 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fan Room / Air Handling Unit (AHU) Room,,,,,,,,TRUE,131 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mechanical Pad for HVAC Equipment (Outdoor),,,,,,,,TRUE,"1,346 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Commercial Kitchen,,,,,,,,TRUE,130 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Ventilation & Ref. Lines,,,,,,,,TRUE,669 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"2,276 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Plumbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic peak flow - Q,,,,,616,,gpm,,The maximum instantaneous demand for domestic (potable) water supply in the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Water Booster Pump Room,,,,,,,,TRUE,218 SF,,,218 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cistern Water Storage/Tank Room,,,,,,,,TRUE,"2,095 SF",,,"2,095 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Backflow Preventer Room/Alcove/Space,,,,,,,,TRUE,80 SF,,,80 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Meter Space/Alcove,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grease Interceptor Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Room (Indoor),,,,,,,,TRUE,85 SF,,,85 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Pad (Outdoor),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graywater System Room,,,,,,,,TRUE,69 SF,,,69 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Plumbing Risers,,,,,,,,TRUE,165 SF,,,165 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water PRV Closet,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water Filtration/Conditioning Room,,,,,,,,TRUE,109 SF,,,109 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rain Water Harvesting Room,,,,,,,,TRUE,107 SF,,,107 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"2,928 SF",,,"2,928 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Fire Sprinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is Sprinklered?,,,,,,,,TRUE,Indicates whether the building is equipped with an automatic fire sprinkler system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design Fire Flow,,,,,"1,000",,gpm,,"The required water supply rate for firefighting, expressed in gallons per minute (gpm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Pump Room,,,,,,,,TRUE,144 SF,,,144 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Control Room,,,,,,,,TRUE,200 SF,,,200 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sprinkler Riser Closets,,,,,,,,TRUE,20 SF,,,20 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,364 SF,,,364 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. 1723 Cloverfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal property type,,,,,Apartment,,,,The proposal property type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building construction type,,,,,4.Type III/I,,,,"The building’s structural material and fire-resistance classification (e.g., Type V – wood, Type III – mixed, Type I – concrete/steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lot Size (GSF),,,,,"56,914",,SF,,Lot Size / Parcel Area / Plot Area : The total land parcel area for the existing office site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAR,,,,,4,,,,The ratio of Gross Floor Area (GFA) to Lot Size for the proposed apartment project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Floor Area (GFA),,,,,"226,576",,SF,,"The total usable floor area that counts toward zoning FAR, excluding shafts, mechanical/electrical rooms, & other exempt spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"241,127",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusion (CBC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories,,,,,10,,,,The number of floors in the existing office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typical floor plate area (GSF),,,,,"24,113",,SF,,"The gross area of one standard floor in the proposed apartment, representing a typical level footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentable area,,,,,"189,100",,SF,,The portion of the proposed apartment building that can be leased or rented to tenants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"241,127",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net-to-Gross ratio,,,,,78.40%,,,,"The efficiency ratio of the proposed apartment, calculated as Rentable Area ÷ Gross Building Area (GBA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,,,,,,,,% GBA,,,Building Area,,,Floor Area,,,GSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling Units,,,,,,,,78.40%,,,"189,100 SF",,,"189,100 SF",,,"189,100 SF",,,,,,,,,,,,,,,78.40%,,,,,,,,,,,,,,,,,,,
,Retail,,,,,,,,0.00%,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,9.70%,,,"23,293 SF",,,"20,758 SF",,,"26,386 SF",,,,,,,,,,,,,,,9.70%,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,3.90%,,,"9,504 SF",,,"7,704 SF",,,"9,681 SF",,,,,,,,,,,,,,,3.90%,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,,0.60%,,,"1,511 SF",,,"1,378 SF",,,"1,511 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,3.20%,,,"7,636 SF",,,"7,636 SF",,,"7,636 SF",,,,,,,,,,,,,,,3.20%,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,0.00%,,,-,,,-,,,"14,063 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking & Vehicle Access Areas,,,,,,,,0.40%,,,"1,050 SF",,,-,,,"1,050 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,0.30%,,,613 SF,,,-,,,613 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,1.50%,,,"3,635 SF",,,-,,,"3,635 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,0.80%,,,"1,905 SF",,,-,,,"1,905 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,0.00%,,,-,,,-,,,"1,789 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,1.00%,,,"2,516 SF",,,-,,,"2,516 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,0.20%,,,364 SF,,,-,,,364 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,100%,,,"241,127 SF",,,"226,576 SF",,,"260,250 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Height and Story Distribution Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height type,,,,,3. High-Rise,,,,"The building height type for the proposed apartment (e.g., Low-Rise, Mid-Rise, High-Rise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Above grade height,,,,,,85,FT,,The building height of the proposed apartment from ground level to roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height - Below grade,,,,,,20,FT,,The building height of the proposed apartment from the lowest occupied basement floor to the ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of building height,,,,,,105,FT,,The building height (above-grade and subterranean).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Above Grade),,,,,,8,,,The number of above-ground floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Below Grade),,,,,,2,,,The number of underground or basement floors for parking in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of stories,,,,,,10,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for dwelling units),,,,,,8.5,,,Floors used for residential dwelling units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
